ticker,total_debt,shares_outstanding,is_fully_islamic,non_permissible_revenue,total_revenue,alcohol,pork,gambling,pornography,tobacco_vaping,recreational_cannabis,impermissible_advertising,impermissible_media,deferred_gold_silver,conventional_finance,sector
BURL,13169970000.0,63035016.0,False,0.0,10634823000.0,False,False,False,False,False,False,False,False,False,False,Consumer Cyclical
BXBLY,8712100000.0,681436806.0,False,0.0,6545400000.0,False,False,False,False,False,False,False,False,False,False,Industrials
BYDDY,,3683400000.0,False,0.0,777102455000.0,False,False,False,False,False,False,False,False,False,False,Consumer Cyclical
BZ,604254000.0,398688012.0,False,0.0,7355677000.0,False,False,False,False,False,False,False,False,False,False,Communication Services
CAH,30234000000.0,237595042.0,False,0.0,222578000000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
CAJPY,1872245000000.0,878625682.0,False,0.0,4509821000000.0,False,False,False,False,False,False,False,False,False,False,Technology
CARR,46007000000.0,842209781.0,False,0.0,22486000000.0,False,False,False,False,False,False,False,False,False,False,Industrials
CBRE,18648000000.0,297592997.0,False,0.0,35767000000.0,False,False,False,False,False,False,False,False,False,False,Real Estate
CDNS,,272201000.0,False,0.0,4641264000.0,False,False,False,False,False,False,False,False,False,False,Technology
CDW,23165900000.0,130193660.0,False,0.0,20998700000.0,False,False,False,False,False,False,False,False,False,False,Technology
CEG,30626000000.0,312290080.0,False,0.0,23568000000.0,False,False,False,False,False,False,False,False,False,False,Utilities
CF,,155974644.0,False,0.0,5936000000.0,False,False,False,False,False,False,False,False,False,False,Basic Materials
CFRUY,35710000000.0,5341820890.0,False,0.0,21399000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Cyclical
CGEMY,19653000000.0,828140555.0,False,0.0,22096000000.0,False,False,False,False,False,False,False,False,False,False,Technology
CHD,,240130071.0,False,0.0,6107100000.0,False,False,False,False,False,False,False,False,False,False,Consumer Defensive
CHEOY,,130796924.0,False,0.0,2343100000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
CHGCY,0.0,3291406654.0,False,0.0,1170611000000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
CHRW,6091800000.0,118137178.0,False,0.0,17724956000.0,False,False,False,False,False,False,False,False,False,False,Industrials
CHT,118798000000.0,775744655.0,False,0.0,228575000000.0,False,False,False,False,False,False,False,False,False,False,Communication Services
CL,31826000000.0,806064942.0,False,0.0,20101000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Defensive
CLCGY,7572572000.0,117247930.0,False,0.0,45437640000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
CLPBY,87754000000.0,2073667960.0,False,0.0,27030000000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
CLS,2763500000.0,115036621.0,False,0.0,9646000000.0,False,False,False,False,False,False,False,False,False,False,Technology
CLX,10569000000.0,121980379.0,False,0.0,7104000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Defensive
CMI,27643000000.0,138036253.0,False,0.0,34102000000.0,False,False,False,False,False,False,False,False,False,False,Industrials
CMPGY,20391000000.0,1697131467.0,False,0.0,42002000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Cyclical
CMSQY,6153883000.0,578387070.0,False,0.0,3114621000.0,False,False,False,False,False,False,False,False,False,True,Financial Services
