ticker,sector,score,close,final_weight,final_dollar,target_shares
NOK,Technology,0.16243505,6.755000114440918,0.04998700084686279,4998.700084686279,740
PCH,Real Estate,0.14698185,39.665000915527344,0.04997790115356445,4997.790115356445,126
BLDR,Industrials,0.17987522,104.11499786376952,0.049975198974609364,4997.519897460937,48
SMCI,Technology,0.17248447,35.949798583984375,0.04997022003173828,4997.022003173828,139
CPRT,Industrials,0.19126377,40.95000076293945,0.04995900093078613,4995.900093078613,122
KVUE,Consumer Defensive,0.21845303,16.760000228881836,0.04994480068206787,4994.480068206787,298
DQJCY,Consumer Defensive,0.18385503,12.300000190734863,0.04993800077438355,4993.8000774383545,406
MPNGY,Consumer Cyclical,0.14500627,25.600000381469727,0.04992000074386597,4992.000074386597,195
CHEOY,Healthcare,0.16844158,89.12999725341797,0.049912798461914064,4991.279846191406,56
JHX,Basic Materials,0.16513973,16.635000228881836,0.04990500068664551,4990.500068664551,300
RCRUY,Communication Services,0.19022593,10.4399995803833,0.04990319799423218,4990.319799423218,478
CSX,Industrials,0.17496282,34.86000061035156,0.04984980087280273,4984.980087280273,143
KDP,Consumer Defensive,0.31529891,26.94499969482422,0.049848249435424805,4984.8249435424805,185
SW,Consumer Cyclical,0.15292507,33.840999603271484,0.04974626941680908,4974.626941680908,147
EXPGY,Industrials,0.18990876,43.59000015258789,0.0496926001739502,4969.2600173950195,114
ICLR,Healthcare,0.18978462,159.2949981689453,0.04938144943237305,4938.144943237305,31
UCBJY,Healthcare,0.15044639,128.42999267578125,0.04880339721679688,4880.3397216796875,38
STX,Technology,0.17791912,255.17999267578125,0.048484198608398435,4848.419860839844,19
LII,Industrials,0.15732358,475.6799926757813,0.04756799926757813,4756.799926757813,10
CLS,Technology,0.18981709,295.3901062011719,0.0472624169921875,4726.24169921875,16
