Symbol,Description,% Portfolio Weight,Shares Held,Market Value,,
--,Chocoladefabriken Lindt & Spruengli AG,0.19%,1,154400,,
--,Saudi Basic Industries Corp,0.19%,9900,153100,,
ADDYY,adidas AG ADR,0.19%,1700,155300,,
FANUY,Fanuc Corp ADR,0.19%,9400,155200,,
DSCSY,Disco Corp ADR,0.18%,4700,151700,,
CHGCY,Chugai Pharmaceutical Co Ltd ADR,0.18%,6400,144000,,
--,Rio Tinto Ltd,0.18%,1700,147700,,
--,ACWA Power Co,0.18%,2500,148200,,
SDZNY,Sandoz Group AG ADR,0.18%,2200,147800,,
SXYAY,Sika AG ADR,0.18%,8100,151700,,
OTSKY,Otsuka Holdings Co Ltd ADR,0.17%,5100,141700,,
--,Kinross Gold Corp,0.17%,6000,143100,,
WTKWY,Wolters Kluwer NV ADR,0.17%,1200,138400,,
SZKMY,Suzuki Motor Corp ADR,0.17%,2500,135900,,
--,ASM International NV,0.17%,224,140600,,
--,Foxconn Industrial Internet Co Ltd Class...,0.17%,13300,142400,,
--,Nongfu Spring Co Ltd Class H Ordinary Sh...,0.17%,20300,137600,,
--,Li Auto Inc Ordinary Shares - Class A,0.17%,13400,136200,,
ANPDY,ANTA Sports Products Ltd ADR,0.17%,527,136100,,
--,Weg SA,0.17%,16500,135600,,
FUJIY,FUJIFILM Holdings Corp ADR,0.17%,12500,137800,,
ERIC,Telefonaktiebolaget L M Ericsson ADR,0.17%,14600,142100,,
DNZOY,Denso Corp ADR,0.16%,9800,131500,,
BRDCY,Bridgestone Corp ADR,0.16%,5900,129800,,
--,Lite-On Technology Corp,0.16%,24700,134900,,
--,NIO Inc Class A,0.16%,17400,130700,,
KNYJY,KONE Oyj ADR,0.16%,3900,130900,,
SGAPY,Singapore Telecommunications Ltd ADR,0.15%,3600,123400,,
SCCO,Southern Copper Corp,0.15%,907,124500,,
TRUMY,Terumo Corp ADR,0.15%,7500,119600,,
--,KE Holdings Inc Class A,0.15%,22300,121400,,
--,CHINESE YUAN,0.15%,877700,123200,,
CAJPY,Canon Inc ADR,0.15%,4500,126200,,
GBERY,Geberit AG ADR,0.15%,1600,124500,,
HXGBY,Hexagon AB ADR,0.15%,10300,125600,,
AJINY,Ajinomoto Co Inc ADR,0.15%,4700,125600,,
--,US DOLLARS,0.14%,114900,114900,,
FSUGY,Fortescue Ltd ADR,0.14%,4200,111200,,
ATLCY,Atlas Copco AB ADR,0.14%,7800,114500,,
--,Abu Dhabi National Energy Co PJSC,0.14%,126200,116500,,
--,Advanced Info Service PCL,0.14%,12000,116400,,
--,Galderma Group AG Registered Shares,0.14%,647,118600,,
--,WSP Global Inc,0.14%,645,116100,,
VWDRY,Vestas Wind Systems AS ADR,0.14%,15300,117100,,
SMCAY,SMC Corp ADR,0.13%,6100,106300,,
NVZMY,Novonesis (Novozymes) B ADR,0.13%,1700,109100,,
--,Alchip Technologies Ltd,0.13%,905,107300,,
--,Aldar Properties PJSC,0.13%,42400,103900,,
--,Chroma Ate Inc,0.13%,4500,109100,,
BXBLY,Brambles Ltd ADR,0.13%,3400,104100,,
CGEMY,Capgemini SE ADR,0.13%,3800,110100,,
CVE,Cenovus Energy Inc,0.13%,6400,107900,,
IMPUY,Impala Platinum Holdings Ltd ADR,0.13%,10200,108700,,
PAC,Grupo Aeroportuario del Pacifico SAB de ...,0.12%,452,97900,,
ALPMY,Astellas Pharma Inc ADR,0.12%,9000,101800,,
--,Tenaga Nasional Bhd,0.12%,32000,101100,,
