Symbol,Description,% Portfolio Weight,Shares Held,Market Value
XYL,Xylem Inc,0.11%,13500,2000000
RMD,ResMed Inc,0.11%,8000,2000000
GRMN,Garmin Ltd,0.10%,8600,1800000
KVUE,Kenvue Inc,0.10%,107100,1800000
KMB,Kimberly-Clark Corp,0.10%,18300,1800000
MCHP,Microchip Technology Inc,0.10%,30000,1800000
NUE,Nucor Corp,0.10%,12900,1900000
IR,Ingersoll Rand Inc,0.10%,22400,1700000
FSLR,First Solar Inc,0.09%,5900,1600000
TER,Teradyne Inc,0.09%,8900,1600000
TSCO,Tractor Supply Co,0.09%,29400,1600000
STE,Steris PLC,0.08%,5300,1400000
VLTO,Veralto Corp,0.08%,13700,1300000
HSY,The Hershey Co,0.08%,8100,1400000
HUBB,Hubbell Inc,0.08%,3000,1400000
ODFL,Old Dominion Freight Line Inc Ordinary S...,0.08%,10300,1400000
MTD,Mettler-Toledo International Inc,0.08%,997,1400000
DOV,Dover Corp,0.08%,7600,1400000
EFX,Equifax Inc,0.08%,6800,1400000
ADM,Archer-Daniels-Midland Co,0.08%,26600,1500000
AVB,AvalonBay Communities Inc,0.08%,7800,1400000
BIIB,Biogen Inc,0.07%,8000,1300000
DXCM,DexCom Inc,0.07%,21800,1300000
CHD,Church & Dwight Co Inc,0.07%,13600,1200000
PPG,PPG Industries Inc,0.07%,12500,1200000
NTAP,NetApp Inc,0.07%,11200,1300000
PODD,Insulet Corp,0.07%,3800,1200000
K,Kellanova,0.07%,14900,1200000
JBL,Jabil Inc,0.07%,5900,1300000
HAL,Halliburton Co,0.07%,47800,1300000
ULTA,Ulta Beauty Inc,0.07%,2400,1200000
WAT,Waters Corp,0.07%,3300,1200000
WSM,Williams-Sonoma Inc,0.07%,6700,1300000
STLD,Steel Dynamics Inc,0.07%,7600,1200000
PHM,PulteGroup Inc,0.07%,11000,1300000
SMCI,Super Micro Computer Inc,0.06%,28600,1200000
TRMB,Trimble Inc,0.06%,13200,1000000
TYL,Tyler Technologies Inc,0.06%,2300,1100000
TPR,Tapestry Inc,0.06%,11600,1100000
TTD,The Trade Desk Inc Class A,0.06%,24900,1100000
WST,West Pharmaceutical Services Inc,0.06%,3800,1100000
VRSN,VeriSign Inc,0.06%,4500,1100000
GDDY,GoDaddy Inc Class A,0.06%,7800,1000000
EQR,Equity Residential,0.06%,19000,1100000
EXPD,Expeditors International of Washington I...,0.06%,7600,1000000
PTC,PTC Inc,0.06%,6600,1100000
ON,ON Semiconductor Corp,0.06%,23300,1100000
LH,Labcorp Holdings Inc,0.06%,4600,1100000
EL,The Estee Lauder Companies Inc Class A,0.06%,13000,1100000
LULU,Lululemon Athletica Inc,0.06%,6100,997300
CTRA,Coterra Energy Inc Ordinary Shares,0.06%,42400,1100000
DVN,Devon Energy Corp,0.06%,35800,1200000
CDW,CDW Corp,0.06%,7300,1000000
BBY,Best Buy Co Inc,0.05%,10600,837100
DD,DuPont de Nemours Inc,0.05%,23300,911200
CHRW,C.H. Robinson Worldwide Inc,0.05%,6500,962900
LII,Lennox International Inc,0.05%,1700,848900
MKC,McCormick & Co Inc Ordinary Shares (Non ...,0.05%,13900,891400
MAA,Mid-America Apartment Communities Inc,0.05%,6400,815100
PKG,Packaging Corp of America,0.05%,4900,968300
IT,Gartner Inc,0.05%,4300,971700
INCY,Incyte Corp,0.05%,8900,936500
HOLX,Hologic Inc,0.05%,12300,911200
GPC,Genuine Parts Co,0.05%,7700,957700
TPL,Texas Pacific Land Corp,0.05%,905,915100
WY,Weyerhaeuser Co,0.05%,40400,922100
ZBH,Zimmer Biomet Holdings Inc,0.05%,10900,963800
PNR,Pentair PLC,0.05%,9100,970100
ROL,Rollins Inc,0.05%,15700,919700
RL,Ralph Lauren Corp Class A,0.04%,2100,666600
ALLE,Allegion PLC,0.04%,4700,779600
ZBRA,Zebra Technologies Corp Ordinary Shares ...,0.04%,2600,681000
JBHT,JB Hunt Transport Services Inc,0.04%,4400,736500
IEX,IDEX Corp,0.04%,4000,670800
FFIV,F5 Inc,0.04%,3200,782000
NDSN,Nordson Corp,0.04%,3000,689900
MAS,Masco Corp,0.04%,11700,727400
CLX,Clorox Co,0.04%,6700,713200
COO,The Cooper Companies Inc,0.04%,11000,758400
DECK,Deckers Outdoor Corp,0.04%,8300,660600
AVY,Avery Dennison Corp,0.04%,4300,747800
CF,CF Industries Holdings Inc,0.04%,9000,730300
BLDR,Builders FirstSource Inc,0.04%,6100,664800
TECH,Bio-Techne Corp,0.03%,8700,507200
AKAM,Akamai Technologies Inc,0.03%,8000,584900
ALB,Albemarle Corp,0.03%,6400,587300
ALGN,Align Technology Inc,0.03%,3700,490700
EPAM,EPAM Systems Inc,0.03%,3100,523300
CPT,Camden Property Trust,0.03%,5900,588000
GNRC,Generac Holdings Inc,0.03%,3200,496700
RVTY,Revvity Inc,0.03%,6500,577900
POOL,Pool Corp,0.03%,2000,496200
HSIC,Henry Schein Inc,0.03%,6600,465100
SWKS,Skyworks Solutions Inc,0.03%,8200,579200
AOS,A.O. Smith Corp,0.02%,6200,407600
MHK,Mohawk Industries Inc,0.02%,2900,308700
CRL,Charles River Laboratories International...,0.02%,2600,436400
--,ABIOMED INC,0.00%,405,$0.00 
--,DEPOSITS WITH BROKER FOR SHORT POSITIONS,0.0001,217300,217300
