Symbol,Description,% Portfolio Weight,Shares Held,Market Value
PODD,Insulet Corp,0.09%,2000,634800
PHM,PulteGroup Inc,0.09%,5600,664100
HAL,Halliburton Co,0.09%,23400,640000
HSY,The Hershey Co,0.09%,4100,681300
DOV,Dover Corp,0.09%,3800,675900
BIIB,Biogen Inc,0.09%,4100,640100
EXE,Expand Energy Corp Ordinary Shares - New,0.09%,6100,679400
FLEX,Flex Ltd,0.09%,10500,662800
WAT,Waters Corp,0.09%,1700,616100
ULTA,Ulta Beauty Inc,0.09%,1300,640400
VLTO,Veralto Corp,0.09%,6700,656500
WSM,Williams-Sonoma Inc,0.09%,3300,633900
TYL,Tyler Technologies Inc,0.08%,1200,552000
WST,West Pharmaceutical Services Inc,0.08%,2000,551200
TPL,Texas Pacific Land Corp,0.08%,536,542000
STLD,Steel Dynamics Inc,0.08%,3800,579600
SMCI,Super Micro Computer Inc,0.08%,14400,582400
CHD,Church & Dwight Co Inc,0.08%,6900,593300
DVN,Devon Energy Corp,0.08%,17400,564600
DLTR,Dollar Tree Inc,0.08%,5700,578200
Q,Qnity Electronics Inc,0.08%,5900,546600
ON,ON Semiconductor Corp,0.08%,11800,575700
PPG,PPG Industries Inc,0.08%,6400,605400
PTC,PTC Inc,0.08%,3300,578500
NVR,NVR Inc,0.08%,77,554000
LH,Labcorp Holdings Inc,0.08%,2300,574200
FWONK,Liberty Media Corp Registered Shs Series...,0.08%,5900,605900
EL,The Estee Lauder Companies Inc Class A,0.08%,6500,573700
IP,International Paper Co,0.07%,14700,536000
LULU,Lululemon Athletica Inc,0.07%,2900,481800
J,Jacobs Solutions Inc,0.07%,3400,516200
ILMN,Illumina Inc,0.07%,4400,532300
PKG,Packaging Corp of America,0.07%,2500,489500
EXPD,Expeditors International of Washington I...,0.07%,3800,516100
IT,Gartner Inc,0.07%,2100,471400
GPC,Genuine Parts Co,0.07%,3900,485500
FTV,Fortive Corp,0.07%,9500,485000
BURL,Burlington Stores Inc,0.07%,1800,471500
--,US DOLLARS,0.07%,512600,512600
SNA,Snap-on Inc,0.07%,1400,489200
TRMB,Trimble Inc,0.07%,6600,523000
TWLO,Twilio Inc Class A,0.07%,4000,504300
APTV,Aptiv PLC,0.07%,6100,501500
ZBH,Zimmer Biomet Holdings Inc,0.07%,5500,490200
PNR,Pentair PLC,0.07%,4600,487800
SW,Smurfit WestRock PLC,0.07%,13800,493200
ALLE,Allegion PLC,0.06%,2400,397800
SUI,Sun Communities Inc,0.06%,3500,435600
WY,Weyerhaeuser Co,0.06%,20300,463200
FFIV,F5 Inc,0.06%,1600,398900
DOW,Dow Inc,0.06%,19800,440200
DD,DuPont de Nemours Inc,0.06%,11700,458600
ROL,Rollins Inc,0.06%,7900,460600
HOLX,Hologic Inc,0.06%,6200,462900
IFF,International Flavors & Fragrances Inc,0.06%,7200,450800
MKC,McCormick & Co Inc Ordinary Shares (Non ...,0.06%,7100,453400
JBHT,JB Hunt Transport Services Inc,0.05%,2200,372900
IEX,IDEX Corp,0.05%,2100,352200
OMC,Omnicom Group Inc,0.05%,5400,394800
OKTA,Okta Inc Class A,0.05%,4500,390300
DOCU,Docusign Inc,0.05%,5600,389700
CF,CF Industries Holdings Inc,0.05%,4500,363000
COO,The Cooper Companies Inc,0.05%,5400,376000
ZBRA,Zebra Technologies Corp Ordinary Shares ...,0.05%,1400,363900
LYB,LyondellBasell Industries NV Class A,0.04%,7200,303900
SCCO,Southern Copper Corp,0.04%,2300,312200
ALGN,Align Technology Inc,0.04%,1900,256400
DAL,Delta Air Lines Inc,0.04%,4600,264400
NWSA,News Corp Class A,0.04%,10600,265600
UAL,United Airlines Holdings Inc,0.03%,2300,218000
LUV,Southwest Airlines Co,0.02%,3600,114800
RAL,Ralliant Corp,0.02%,3200,148100
NWS,News Corp Class B,0.01%,3100,89000
FWONA,Liberty Media Corp A,0.01%,631,59100
--,DEPOSITS WITH BROKER FOR SHORT POSITIONS,0.01%,105400,105400
UI,Ubiquiti Inc,0.01%,115,87400
GFS,GLOBALFOUNDRIES Inc,0.01%,2800,95600
