Description,% Portfolio Weight,Shares Held,Market Value
KSA Sukuk Limited 5.25%,0.78%,3100000,3200000
KSA Sukuk Limited 5.25%,1.38%,5400000,5600000
MAF Sukuk Ltd. 4.64%,0.35%,1400000,1400000
MAF Sukuk Ltd. 3.93%,0.34%,1400000,1400000
MAF Sukuk Ltd. 5%,0.30%,1200000,1200000
QIB Sukuk Ltd. 5.58%,0.54%,2100000,2200000
QIB Sukuk Ltd. 4.49%,0.45%,1800000,1800000
QIIB Senior Oryx Ltd. 5.25%,0.45%,1800000,1800000
STC Sukuk Co Ltd. 3.89%,0.73%,3000000,3000000
SA Global Sukuk Ltd. 2.69%,1.59%,7100000,6500000
Saudi Electricity Global SUKUK Co 4 4.72...,0.70%,2800000,2900000
Saudi Electricity Global Sukuk Company 5...,0.36%,1600000,1500000
Saudi Electricity Global Sukuk Company 2...,0.58%,2400000,2400000
Saudi Electricity Company 5.5%,0.61%,2400000,2500000
Saudi Electricity Sukuk Programme Co. 5....,0.87%,3500000,3500000
Saudi Electricity Sukuk Programme Co. 4....,0.72%,2900000,2900000
Saudi Electricity Sukuk Programme Co. 5....,0.78%,3000000,3200000
Sharjah Sukuk Programme Limited 4.23%,0.68%,2800000,2800000
Sharjah Sukuk Programme Limited 3.23%,0.58%,2500000,2400000
Sharjah Sukuk Programme Limited 3.85%,0.23%,1000000,925200
Sharjah Sukuk Programme Limited 2.94%,0.59%,2500000,2400000
Sharjah Sukuk Programme Limited 3.2%,0.43%,1900000,1700000
Sharjah Sukuk Programme Limited 3.89%,0.43%,1800000,1800000
Sharjah Sukuk Programme Limited 6.09%,0.58%,2200000,2400000
Sharjah Sukuk Programme Limited 5.43%,0.62%,2500000,2500000
SIB Sukuk Co. III Ltd. 5.25%,0.32%,1300000,1300000
SUCI Second Investment Co. 6.25%,0.82%,3000000,3300000
SUCI Second Investment Co. 6%,1.36%,5300000,5500000
SUCI Second Investment Co. 5.17%,1.19%,4700000,4800000
SUCI Second Investment Co. 4.38%,0.89%,3600000,3600000
SNB Sukuk Ltd 2.34%,0.43%,1800000,1800000
TMS Issuer S.a.r.l. 5.78%,0.93%,3600000,3800000
IsDB Trust Services No. 2 SARL 3.21%,1.02%,4200000,4200000
IsDB Trust Services No. 2 SARL 4.75%,0.55%,2200000,2200000
IsDB Trust Services No. 2 SARL 4.6%,1.20%,4800000,4900000
IsDB Trust Services No. 2 SARL 4.91%,1.28%,5100000,5200000
IsDB Trust Services No. 2 SARL 4.05%,0.72%,2900000,2900000
IsDB Trust Services No. 2 SARL 4.25%,1.02%,4100000,4100000
EQUATE Sukuk SPC Ltd. 5%,0.46%,1900000,1900000
MDGH Sukuk Ltd. 4.96%,0.59%,2300000,2400000
Maaden Sukuk Ltd. 5.25%,0.49%,1900000,2000000
Maaden Sukuk Ltd. 5.5%,0.31%,1200000,1300000
Oman Sovereign Sukuk S.A.O.C 4.88%,1.04%,4100000,4200000
National Central Cooling Company PJSC (T...,0.42%,1700000,1700000
Rak Capital 5%,0.59%,2300000,2400000
Axiata SPV2 Berhad 2.16%,0.27%,1200000,1100000
Dua Capital Limited 2.78%,0.32%,1400000,1300000
Hong Kong Sukuk 2017 Ltd. 3.13%,0.59%,2400000,2400000
Khazanah Global Sukuk Bhd 4.69%,0.47%,1900000,1900000
Khazanah Global Sukuk Bhd 4.48%,0.30%,1200000,1200000
Malaysia Sukuk Global Berhad 4.08%,0.26%,1200000,1100000
Malaysia Sovereign Sukuk Bhd 4.24%,0.26%,1200000,1000000
Malaysia Wakala Sukuk Berhad 2.07%,0.43%,1900000,1700000
Malaysia Wakala Sukuk Berhad 3.08%,0.22%,1200000,880900
Perusahaan Penerbit Surat Berharga Syari...,0.48%,1900000,2000000
Perusahaan Penerbit Surat Berharga Syari...,0.61%,2400000,2500000
Perusahaan Penerbit Surat Berharga Syari...,0.35%,1400000,1400000
Perusahaan Penerbit Surat Berharga Syari...,0.67%,2700000,2700000
Perusahaan Penerbit Surat Berharga Syari...,0.56%,2200000,2300000
Perusahaan Penerbit Surat Berharga Syari...,0.45%,1800000,1800000
ROP Sukuk Trust 5.05%,0.63%,2500000,2600000
TNB Global Ventures Capital Berhad 4.85%,0.45%,1800000,1800000
